,source,bit_rate
520,14,1129.456581
521,15,4485.38673
522,16,464.4424939999999
523,17,1531.419896
524,18,3067.230779
525,19,4440.903295
526,20,196.817198
527,21,3039.2184419999994
528,0,335.63066100000003
529,1,480.6269210000001
530,2,4940.261475999999
531,3,452.79193699999996
532,4,7111.912538000001
533,5,575.962594
534,6,788.572682
535,7,4691.742494
536,8,4019.17908
537,9,5272.379594
538,10,30.088452
539,11,227.83481600000002
540,12,2760.774867
541,13,95.078697
542,14,3399.7055710000004
543,15,2057.322437
544,16,398.53523100000007
545,17,1420.292289
546,18,2907.290161
547,19,4442.411816
548,20,67.264573
549,21,2791.032069
550,0,390.425784
551,1,417.520314
552,2,4973.992534
553,3,626.44264
554,4,7104.134742
555,5,505.50847
556,6,615.753754
557,7,4657.798885
558,8,3817.4233130000002
559,9,5334.686033999999
560,10,19.49853
561,11,265.255768
562,12,2694.7956860000004
563,13,86.60998599999999
564,14,3044.119503
565,15,1543.5586500000002
566,16,376.426784
567,17,1409.285244
568,18,2957.276832
569,19,4401.906746
570,20,96.7026
571,21,2804.152453
572,0,423.10593400000005
573,1,429.959625
574,2,5030.275703
575,3,410.573951
576,4,7023.349024000001
577,5,495.76663
578,6,681.0706980000001
579,7,4673.7844239999995
580,8,3891.1202380000004
581,9,5322.263365
582,10,20.504113
583,11,263.503094
584,12,2729.662442
585,13,88.09179200000001
586,14,3183.8152889999997
587,15,1261.486751
588,16,448.45454000000007
589,17,1435.649612
590,18,3032.245371
591,19,4348.119908000001
592,20,130.71728499999998
593,21,2665.9397099999996
594,0,396.2443140000001
595,1,409.25077600000003
596,2,4689.945061999999
597,3,535.228945
598,4,7430.696703999999
599,5,447.15863700000006
600,6,638.83219
601,7,4678.761676
602,8,3771.6009030000005
603,9,5395.133856999999
604,10,21.292475999999997
605,11,253.73870500000004
606,12,2816.6848849999997
607,13,95.965127
608,14,3128.478101999999
609,15,1451.274315
610,16,471.80744100000004
611,17,1414.5517529999997
612,18,3192.3310669999996
613,19,4362.1029960000005
614,20,98.102924
615,21,2572.539068
616,0,338.183562
617,1,380.779928
618,2,4451.702964
619,3,452.5597600000001
620,4,6915.658554
621,5,561.9061290000001
622,6,669.5331100000001
623,7,4728.972148999999
624,8,3898.962309
625,9,5418.761786
626,10,59.75505599999999
627,11,233.70676600000002
628,12,2629.3557570000007
629,13,99.639895
630,14,2885.8369169999996
631,15,2122.903107
632,16,562.7680979999999
633,17,1434.3190670000001
634,18,3085.3244819999995
635,19,4461.5366890000005
636,20,86.22429499999998
637,21,2557.798097
638,0,383.64496800000006
639,1,396.127296
640,2,4624.228085
641,3,234.75682999999998
642,4,6421.263404
643,5,595.8595779999999
644,6,537.822388
645,7,4750.874677
646,8,3921.9321630000004
647,9,5527.618944
648,10,82.58736900000001
649,11,223.91392
650,12,2582.4985819999997
651,13,88.980529
652,14,2791.9354220000005
653,15,2005.5455279999999
654,16,465.273761
655,17,1407.7794849999998
656,18,3001.2914629999996
657,19,4351.580828
658,20,107.66302800000001
659,21,2680.2361149999997
660,0,416.120548
661,1,362.063069
662,2,4499.027253000001
663,3,321.906355
664,4,6369.057003
665,5,543.9088569999999
666,6,658.4863640000001
667,7,4601.2482230000005
668,8,3821.1279440000003
669,9,5533.797806
670,10,118.111415
671,11,209.01117299999999
672,12,2636.510175
673,13,94.10263300000001
674,14,2622.1864979999996
675,15,1556.6846040000003
676,16,402.98402500000003
677,17,1432.903446
678,18,2873.2917770000004
679,19,4131.623847000001
680,20,120.32990799999999
681,21,2616.883325999999
682,0,458.97327399999995
683,1,407.63463100000007
684,2,4408.674908999999
685,3,282.362163
686,4,6322.906255000001
687,5,532.7704019999999
688,6,615.089046
689,7,4609.485987
690,8,3611.213586
691,9,5371.201493999999
692,10,118.18715900000001
693,11,226.64507300000002
694,12,2859.198537
695,13,92.694152
696,14,2959.028211
697,15,1625.9113109999998
698,16,405.03393600000004
699,17,1343.627366
700,18,2709.8755020000003
701,19,4025.627063
702,20,127.22740800000001
703,21,2545.615198
704,0,265.741606
705,1,405.8903939999999
706,2,4209.600418999999
707,3,447.49186000000003
708,4,6341.8858869999995
709,5,502.03889200000003
710,6,705.2356920000001
711,7,4637.077267
712,8,3616.767263
713,9,5428.587525999999
714,10,105.855081
715,11,223.02794100000003
716,12,2700.4584520000003
717,13,89.74094199999999
718,14,2667.671912
719,15,1564.814297
720,16,420.790389
721,17,1358.0060950000002
722,18,2669.6221270000005
723,19,3838.988343
724,20,107.509909
725,21,2336.721998
726,0,368.244234
727,1,363.5215369999999
728,2,4156.959182
729,3,386.14691999999997
730,4,6277.56125
731,5,544.078623
732,6,797.0529180000001
733,7,4377.701377
734,8,3510.301795
735,9,5509.45332
736,10,53.24628700000002
737,11,220.68304200000003
738,12,2639.1242569999995
739,13,85.713489
740,14,2646.209675
741,15,1831.6902570000002
742,16,382.60789300000005
743,17,1352.9945950000001
744,18,2668.3333629999997
745,19,3889.882646
746,20,119.19229499999997
747,21,2326.123641
748,0,304.980571
749,1,415.192282
750,2,3921.216734
751,3,335.41276799999997
752,4,5871.912705999998
753,5,515.462588
754,6,944.902915
755,7,4488.270381
756,8,3311.294274
757,9,5393.303641
758,10,56.01640899999999
759,11,221.09015599999998
760,12,2563.8151769999995
761,13,84.955998
762,14,2593.706932
763,15,1961.9276669999997
764,16,424.935306
765,17,1344.9573500000001
766,18,2617.9710080000004
767,19,3924.7144849999995
768,20,107.145926
769,21,2304.070187
770,0,353.72222800000003
771,1,333.47947700000003
772,2,3811.430409
773,3,246.84019600000002
774,4,5814.234101
775,5,486.675497
776,6,747.9395730000001
777,7,4456.031647000001
778,8,3189.9395529999997
779,9,5345.798344
780,10,47.880755999999984
781,11,197.5766
782,12,2429.749544999999
783,13,78.91799800000001
784,14,2673.536946
785,15,1865.802619
786,16,446.73566300000005
787,17,1267.0535909999999
788,18,2609.868477
789,19,3837.3044999999997
790,20,93.42847700000002
791,21,2399.4965620000003
792,0,291.19154100000003
793,1,379.134209
794,2,3630.1011059999996
795,3,266.276703
796,4,5658.198349
797,5,543.2787330000001
798,6,716.700238
799,7,4465.1654610000005
800,8,3201.219825
801,9,5336.792906000001
802,10,161.000579
803,11,189.72345299999998
804,12,2477.3982370000003
805,13,73.627309
806,14,2677.308489
807,15,1997.178819
808,16,360.97420600000004
809,17,1289.4263839999999
810,18,2544.392844
811,19,4008.527587
812,20,53.639287
813,21,2244.277569
814,0,256.71733299999994
815,1,468.343089
816,2,3664.0229539999996
817,3,272.19689900000003
818,4,5522.511512
819,5,542.728961
820,6,724.778027
821,7,4430.7271820000005
822,8,3143.313596
823,9,5288.704825
824,10,27.876367999999992
825,11,212.619813
826,12,2275.085107
827,13,70.108864
828,14,2591.392735
829,15,2025.832647
830,16,362.752519
831,17,1274.1328280000002
832,18,2553.195062
833,19,3832.460286
834,20,100.01861099999999
835,21,2160.97685
836,0,224.61208900000003
837,1,418.59146400000003
838,2,3639.0316979999993
839,3,320.271428
840,4,5519.932129999998
841,5,550.1244389999999
842,6,609.276302
843,7,4456.73156
844,8,2948.676542
845,9,5294.00811
846,10,27.878677999999997
847,11,185.646293
848,12,2219.5588099999995
849,13,72.923745
850,14,2211.1477919999998
851,15,1872.9319540000001
852,16,421.972369
853,17,1235.996221
854,18,2408.742556
855,19,3771.227248
856,20,157.79866
857,21,2098.740758
858,0,269.967891
859,1,368.0803219999999
860,2,3168.095896
861,3,385.70916099999994
862,4,5307.183544
863,5,581.816272
864,6,686.332262
865,7,4384.108709
866,8,2883.667402
867,9,5124.687101
868,10,90.890139
869,11,195.876956
870,12,2010.6560489999997
871,13,62.731209
872,14,2344.898977
873,15,1585.406972
874,16,326.520802
875,17,1217.175729
876,18,2519.056102
877,19,3396.665822
878,20,120.915279
879,21,2308.956573
880,0,269.92836100000005
881,1,328.99492399999997
882,2,3041.7488470000003
883,3,301.036904
884,4,5553.425665000001
885,5,547.397561
886,6,558.172764
887,7,4288.870988000001
888,8,2932.106987
889,9,5032.9913400000005
890,10,92.604462
891,11,182.36547900000002
892,12,1910.364996
893,13,72.256169
894,14,2315.093653
895,15,1474.651338
896,16,329.62572599999993
897,17,1222.120087
898,18,2393.381803
899,19,3231.9361550000003
900,20,125.403938
901,21,2237.7964100000004
902,0,333.65666600000003
903,1,330.91235300000005
904,2,3172.210564
905,3,257.27328800000004
906,4,5476.056444
907,5,562.674809
908,6,674.7448519999999
909,7,4337.825648
910,8,3064.0779469999998
911,9,5107.376306
912,10,87.29493899999997
913,11,203.685342
914,12,2024.599044
915,13,75.837369
916,14,2124.710267
917,15,1220.8543229999998
918,16,331.78202600000003
919,17,1194.873339
920,18,2187.58166
921,19,3059.3629
922,20,125.30828800000003
923,21,2092.285631
924,0,331.89459800000003
925,1,350.532513
926,2,3081.041684
927,3,291.23517599999997
928,4,5436.833618000001
929,5,517.987258
930,6,640.158627
931,7,3846.1278580000003
932,8,2973.399014
933,9,5132.976942
934,10,30.458396999999998
935,11,191.655729
936,12,2125.22338
937,13,66.057907
938,14,2122.1466859999996
939,15,1559.496449
940,16,377.572216
941,17,1226.479866
942,18,2169.034115
943,19,3086.6304539999996
944,20,156.852793
945,21,2025.900851
946,0,345.448417
947,1,338.45099799999997
948,2,2862.173847000001
949,3,279.915597
950,4,5466.769006000001
951,5,548.6879
952,6,565.143193
953,7,4410.441189
954,8,2993.6922580000005
955,9,5201.075704
956,10,51.873062999999995
957,11,203.82254400000002
958,12,2024.088687
959,13,69.337427
960,14,2408.398255
961,15,1652.4831170000004
962,16,332.87504900000005
963,17,1199.7383
964,18,2113.860502
965,19,3164.67113
966,20,160.36848400000002
967,21,1976.909924
968,0,365.778437
969,1,357.57053
970,2,2742.551492
971,3,211.072384
972,4,5223.085356
973,5,484.13412200000005
974,6,647.95695
975,7,4317.496416
976,8,2870.856739
977,9,5072.131728
978,10,49.073814000000006
979,11,225.268926
980,12,1897.846116
981,13,62.699216
982,14,2146.527942
983,15,1634.545735
984,16,273.539422
985,17,1203.31371
986,18,2030.676519
987,19,3174.4421569999995
988,20,115.194363
989,21,1894.4340599999998
990,0,358.56621600000005
991,1,352.34647600000005
992,2,3023.8529099999996
993,3,237.571933
994,4,5282.60958
995,5,541.291184
996,6,471.93997799999994
997,7,4406.047956
998,8,2776.068762
999,9,4995.052772999999
1000,10,22.346305999999995
1001,11,247.35026899999997
1002,12,1750.2049050000003
1003,13,65.748184
1004,14,2198.922162
1005,15,1486.8236650000001
1006,16,348.655733
1007,17,1191.927157
1008,18,1935.5403
1009,19,3214.948633
1010,20,104.89268100000001
1011,21,1919.6879749999998
1012,0,279.45686300000006
1013,1,362.986386
1014,2,2872.8974289999996
1015,3,214.14885499999997
1016,4,4979.975373000001
1017,5,534.27487
1018,6,605.066212
1019,7,4274.9081479999995
1020,8,2707.1802820000003
1021,9,4948.538044
1022,10,15.251829000000003
1023,11,236.212263
1024,12,1809.133252
1025,13,67.419041
1026,14,2130.100657
1027,15,1337.6695499999998
1028,16,359.394952
1029,17,1212.342933
1030,18,1840.189163
1031,19,3238.6100760000004
1032,20,135.25531900000001
1033,21,1862.4001759999999
1034,0,285.541929
1035,1,373.090922
1036,2,2829.1429219999995
1037,3,205.55530899999997
1038,4,5077.778189
1039,5,451.66675200000003
1040,6,552.031691
1041,7,4341.4645439999995
1042,8,2709.1708700000004
1043,9,4812.681837
1044,10,14.430067000000001
1045,11,206.03384
1046,12,1886.3356339999998
1047,13,61.984514999999995
1048,14,2199.8021220000005
1049,15,1343.0549899999999
1050,16,319.303011
1051,17,1225.898547
1052,18,1810.919719
1053,19,3203.5204139999996
1054,20,47.232803
1055,21,1860.6738200000002
1056,0,235.008294
1057,1,367.01277100000004
1058,2,2619.554031
1059,3,177.29882
1060,4,4981.763415
1061,5,471.10820800000005
1062,6,626.8096629999999
1063,7,4211.448066
1064,8,2685.493795
1065,9,4866.057514
1066,10,8.013292999999999
1067,11,186.39720599999998
1068,12,1957.2428120000002
1069,13,68.125868
1070,14,2036.023998
1071,15,1341.791867
1072,16,324.06208899999996
1073,17,1183.479758
1074,18,1865.5990040000001
1075,19,3276.2052329999997
1076,20,47.460257999999996
1077,21,1890.337499
1078,0,278.25733700000006
1079,1,355.949267
1080,2,2638.0168929999995
1081,3,184.62266
1082,4,4785.616041
1083,5,465.04349699999995
1084,6,492.538673
1085,7,4133.469583
1086,8,2714.9941229999995
1087,9,4800.675845
1088,10,26.255055000000002
1089,11,187.17572800000002
1090,12,1962.241153
1091,13,63.373201
1092,14,1866.942983
1093,15,1447.690692
1094,16,273.368929
1095,17,1144.484555
1096,18,1963.9039679999998
1097,19,3138.5165050000005
1098,20,56.479471999999994
1099,21,1920.6758429999998
1100,0,277.499058
1101,1,373.969138
1102,2,2784.8259930000004
1103,3,129.442973
1104,4,4635.078132000001
1105,5,430.22661400000004
1106,6,993.6268049999999
1107,7,4131.275494
1108,8,2635.084095
1109,9,4801.117934
1110,10,11.070587000000002
1111,11,173.66284800000003
1112,12,1863.954464
1113,13,63.080856
1114,14,1914.140476
1115,15,1129.905813
1116,16,301.449306
1117,17,1118.476529
1118,18,1781.0340919999999
1119,19,3116.435388
1120,20,31.766111000000006
1121,21,1874.3539859999996
1122,0,263.6773580000001
1123,1,374.44215899999995
1124,2,2608.003113
1125,3,142.69494200000003
1126,4,4793.836376
1127,5,417.097904
1128,6,714.809514
1129,7,4067.4313009999996
1130,8,2706.917233
1131,9,4832.448648
1132,10,8.032804999999998
1133,11,181.84612700000002
1134,12,1619.2781040000002
1135,13,60.682309000000004
1136,14,1878.0284190000002
1137,15,1202.152701
1138,16,296.50134699999995
1139,17,1119.221647
1140,18,1922.0142600000001
1141,19,3006.2611830000005
1142,20,33.340587
1143,21,1778.0185209999997
1144,0,225.12446800000004
1145,1,335.403039
1146,2,2558.317616
1147,3,185.011669
1148,4,4740.2770519999995
1149,5,419.5387330000001
1150,6,562.694377
1151,7,4019.894621000001
1152,8,2692.297329
1153,9,4672.4791239999995
1154,10,6.982348
1155,11,173.588119
1156,12,1691.031507
1157,13,57.418704000000005
1158,14,1678.5486170000004
1159,15,1221.950438
1160,16,343.651489
1161,17,1121.5284769999998
1162,18,1897.151155
1163,19,3188.746211
1164,20,36.556962
1165,21,1767.5585509999999
1166,0,277.94559100000004
1167,1,328.0861690000001
1168,2,2699.0294469999994
1169,3,130.891153
1170,4,4744.541406
1171,5,427.40368799999993
1172,6,595.1419559999999
1173,7,4008.1456609999996
1174,8,2637.3956480000006
1175,9,4414.195471
1176,10,6.557182
1177,11,188.79074400000002
1178,12,1698.3704169999999
1179,13,65.503244
1180,14,1639.7919430000002
1181,15,1461.035779
1182,16,350.76361899999995
1183,17,1113.043013
1184,18,1729.2474579999998
1185,19,2994.776001
1186,20,33.711545
1187,21,1723.198095
1188,0,261.676029
1189,1,266.5882820000001
1190,2,2520.3407640000005
1191,3,188.90011600000003
1192,4,4669.503591000001
1193,5,407.64542800000004
1194,6,485.7524000000001
1195,7,3973.0282209999996
1196,8,2634.5334220000004
1197,9,4507.630749
1198,10,8.860924
1199,11,187.626759
1200,12,1725.9037209999997
1201,13,66.153784
1202,14,1652.4047870000002
1203,15,1952.065318
1204,16,252.13352799999996
1205,17,1068.657367
1206,18,1595.2475559999998
1207,19,2950.4542930000002
1208,20,41.518187
1209,21,1644.2929789999998
1210,0,313.16964499999995
1211,1,433.696306
1212,2,2519.905924
1213,3,370.03019800000004
1214,4,4801.250979
1215,5,526.4495019999999
1216,6,619.017695
1217,7,3855.9673199999997
1218,8,2597.682541
1219,9,4680.199455
1220,10,7.873727000000001
1221,11,163.66037599999999
1222,12,1521.349326
1223,13,64.298993
1224,14,1627.9609430000003
1225,15,1837.5444360000001
1226,16,290.17707300000006
1227,17,1084.8831200000002
1228,18,1781.5217849999997
1229,19,2784.651621
1230,20,54.300566999999994
1231,21,1729.918128
1232,0,266.282268
1233,1,357.281274
1234,2,2555.6810440000004
1235,3,366.926175
1236,4,4741.724501999999
1237,5,501.277969
1238,6,514.0815470000001
1239,7,3833.65357
1240,8,2675.490588
1241,9,4651.366307
1242,10,8.300803
1243,11,172.37059599999998
1244,12,1673.7859389999996
1245,13,63.404185999999996
1246,14,1674.4929350000002
1247,15,1351.022117
1248,16,331.718146
1249,17,1090.6417689999998
1250,18,1799.139495
1251,19,2832.668116
1252,20,58.15752599999999
1253,21,1542.744483
1254,0,312.47816600000004
1255,1,311.166799
1256,2,2918.632623
1257,3,301.44964200000004
1258,4,4701.985187
1259,5,393.08001299999995
1260,6,477.3721999999999
1261,7,3834.105558
1262,8,2683.517436
1263,9,4520.04926
1264,10,11.401173
1265,11,173.30848000000003
1266,12,1591.3412849999997
1267,13,60.624279
1268,14,1459.427624
1269,15,1162.245145
1270,16,314.17635299999995
1271,17,1044.78843
1272,18,1663.9545750000002
1273,19,2855.181318
1274,20,56.244764
1275,21,1615.145556
1276,0,345.688354
